,시군구명,관광/여가/오락,부동산,생활서비스,소매,숙박,스포츠,음식,학문/교육,기타음식업,닭/오리요리,별식/퓨전요리,부페,분식,양식,유흥주점,음식배달서비스,일식/수산물,제과제빵떡케익,중식,커피점/카페,패스트푸드,한식
45,부천시,1024,1571,6389,10264,130,413,8005,2571,60.0,632.0,219.0,47.0,700.0,257.0,909.0,14.0,508.0,414.0,293.0,1098.0,477.0,2377.0
46,성남시,1090,2294,7826,12080,421,606,12140,3566,52.0,663.0,296.0,45.0,996.0,655.0,1241.0,12.0,868.0,541.0,368.0,1930.0,595.0,3878.0
47,수원시,1378,2533,10257,14528,355,689,14807,4298,43.0,910.0,357.0,71.0,1158.0,522.0,1381.0,16.0,884.0,614.0,428.0,2339.0,817.0,5267.0
48,시흥시,630,1042,3938,6250,116,278,6729,1503,81.0,438.0,157.0,56.0,573.0,147.0,726.0,4.0,474.0,231.0,267.0,758.0,308.0,2509.0
49,안산시,973,1415,6538,9333,314,373,8898,2003,74.0,562.0,224.0,46.0,715.0,280.0,1071.0,12.0,669.0,339.0,347.0,1166.0,393.0,3000.0
50,안성시,211,401,1545,2750,95,116,3573,576,31.0,236.0,71.0,31.0,267.0,104.0,282.0,8.0,132.0,101.0,115.0,475.0,140.0,1580.0
51,안양시,679,1302,4746,7636,158,348,6729,2117,25.0,403.0,177.0,28.0,556.0,228.0,845.0,3.0,506.0,295.0,179.0,1088.0,327.0,2069.0
52,양주시,186,595,2109,3346,149,145,4046,703,12.0,288.0,91.0,19.0,275.0,152.0,327.0,2.0,221.0,125.0,145.0,424.0,150.0,1815.0
53,양평군,155,549,1003,1790,423,56,2638,314,8.0,157.0,54.0,7.0,191.0,84.0,148.0,3.0,135.0,100.0,68.0,393.0,56.0,1234.0
54,여주시,129,315,944,2102,128,70,2728,259,16.0,180.0,53.0,19.0,194.0,60.0,237.0,4.0,159.0,67.0,78.0,329.0,75.0,1257.0
55,연천군,36,99,368,853,102,17,1023,90,3.0,81.0,31.0,5.0,80.0,21.0,89.0,3.0,45.0,25.0,19.0,122.0,39.0,460.0
56,오산시,276,382,2008,2831,103,128,3302,742,18.0,235.0,77.0,14.0,261.0,76.0,378.0,8.0,197.0,133.0,146.0,394.0,148.0,1217.0
57,용인시,864,2825,7591,11329,238,698,11729,3969,69.0,799.0,259.0,54.0,941.0,459.0,907.0,7.0,687.0,516.0,343.0,1956.0,680.0,4052.0
58,의왕시,96,225,740,1122,16,73,1336,394,7.0,95.0,32.0,6.0,94.0,54.0,92.0,1.0,80.0,63.0,29.0,246.0,68.0,469.0
59,의정부시,448,709,3768,5660,113,219,5611,1544,13.0,412.0,136.0,20.0,439.0,245.0,526.0,6.0,351.0,237.0,136.0,800.0,289.0,2001.0
60,이천시,324,647,2191,4791,153,148,4931,983,58.0,345.0,102.0,43.0,377.0,160.0,533.0,9.0,290.0,166.0,171.0,563.0,203.0,1911.0
61,파주시,515,1335,4149,6599,222,232,7845,1530,24.0,496.0,159.0,72.0,568.0,229.0,633.0,15.0,434.0,328.0,240.0,1123.0,350.0,3174.0
62,평택시,647,1655,5124,8094,204,272,8916,1732,30.0,615.0,167.0,111.0,603.0,297.0,1070.0,15.0,497.0,280.0,283.0,1077.0,368.0,3503.0
63,포천시,230,429,1595,3983,345,109,4263,334,18.0,317.0,106.0,30.0,264.0,155.0,325.0,5.0,197.0,98.0,124.0,428.0,118.0,2078.0
64,하남시,256,662,2651,3979,44,189,4057,861,17.0,232.0,78.0,32.0,321.0,199.0,282.0,6.0,313.0,211.0,143.0,604.0,203.0,1416.0
65,화성시,846,2450,6406,10440,285,552,11653,2881,99.0,732.0,320.0,275.0,762.0,327.0,886.0,22.0,865.0,427.0,368.0,1664.0,632.0,4274.0
