시군구코드,시군구명,행정구역별(1),2022년08월_총인구수,2022년08월_세대수,2022년08월_세대당 인구,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_세대수,2022년09월_세대당 인구,2022년09월_남자 인구수,2022년09월_여자 인구수,관광/여가/오락,부동산,생활서비스,소매,숙박,스포츠,음식,학문/교육,기타음식업,닭/오리요리,별식/퓨전요리,부페,분식,양식,유흥주점,음식배달서비스,일식/수산물,제과제빵떡케익,중식,커피점/카페,패스트푸드,한식,centroid_dist,매매호수21,매매면적(천㎡),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),pol_q3,surv,gmean,target
11170,용산구,서울특별시,222230.0,112074.0,1.98,106686.0,115544.0,219275.0,109954.0,1.99,105385.0,113890.0,250,638,2015,3531,120,113,4364,465,15.0,128.0,109.0,7.0,264.0,633.0,410.0,5.0,255.0,163.0,96.0,726.0,197.0,1356.0,668.628290470362,1359,181,7285,7404,-119,1312,3428,3528,2545,2564,0.0156666666666666,34.695884253406376,7.38608138012013,2.0
11200,성동구,서울특별시,283603.0,134616.0,2.11,138050.0,145553.0,282250.0,133819.0,2.11,137351.0,144899.0,266,623,2386,3038,52,179,3884,711,26.0,157.0,94.0,4.0,273.0,287.0,292.0,4.0,245.0,162.0,113.0,694.0,168.0,1365.0,1072.8742467358668,1683,134,8234,8899,-665,1624,3697,4425,2913,2850,0.018,32.70996827517115,10.161569220793256,2.0
11215,광진구,서울특별시,339567.0,170014.0,2.0,163692.0,175875.0,338257.0,169338.0,2.0,163038.0,175219.0,464,764,2906,3993,67,209,4595,1059,16.0,221.0,95.0,13.0,415.0,219.0,455.0,1.0,338.0,200.0,164.0,837.0,236.0,1385.0,780.9329971229001,821,64,10327,10903,-576,2672,3776,4394,3879,3837,0.0123333333333333,27.683936061671012,6.310397743768405,2.0
11230,동대문구,서울특별시,337233.0,170413.0,1.98,166170.0,171063.0,337106.0,170068.0,1.98,166051.0,171055.0,301,607,2403,4571,111,152,3994,779,8.0,199.0,93.0,16.0,360.0,118.0,381.0,5.0,252.0,162.0,149.0,565.0,196.0,1490.0,1100.3590003916495,1893,126,11527,10417,1110,2279,4935,4418,4313,3720,0.0156666666666666,30.05964766264392,5.0923590593548065,1.0
11260,중랑구,서울특별시,387840.0,188283.0,2.06,190931.0,196909.0,386390.0,187513.0,2.06,190115.0,196275.0,387,530,2632,3360,84,130,3649,776,10.0,231.0,81.0,10.0,345.0,94.0,440.0,1.0,241.0,180.0,80.0,511.0,178.0,1247.0,2730.918182698855,1766,119,10127,10973,-846,3378,3854,3377,2895,4218,0.0129999999999999,35.357955539996496,6.9299406085512425,2.0
11290,성북구,서울특별시,433386.0,198452.0,2.18,208575.0,224811.0,431827.0,197588.0,2.19,207715.0,224112.0,279,516,2502,3523,81,153,4124,1102,19.0,241.0,85.0,7.0,360.0,205.0,332.0,2.0,242.0,185.0,104.0,731.0,250.0,1361.0,1092.474542336338,2724,198,11384,11428,-44,2576,4621,4903,4187,3949,0.017,34.54703077589944,6.636745607333842,2.0
11305,강북구,서울특별시,296073.0,145204.0,2.04,143861.0,152212.0,294876.0,144577.0,2.04,143219.0,151657.0,303,304,1899,2596,94,112,3414,540,11.0,213.0,69.0,7.0,312.0,94.0,424.0,3.0,193.0,140.0,75.0,384.0,152.0,1337.0,959.675462452436,1094,75,7650,8036,-386,2342,3150,3189,2158,2505,0.01,30.356164383561644,6.000994468270248,2.0
11320,도봉구,서울특별시,313835.0,138975.0,2.26,152495.0,161340.0,312788.0,138541.0,2.26,152019.0,160769.0,223,345,1747,2465,17,130,2605,759,10.0,184.0,57.0,12.0,262.0,82.0,243.0,1.0,176.0,134.0,67.0,389.0,135.0,853.0,1755.4327977472162,2095,140,6985,7759,-774,2016,2873,2829,2096,2914,0.0093333333333333,33.800808176848115,6.056993423835712,2.0
11350,노원구,서울특별시,507076.0,218649.0,2.32,243842.0,263234.0,505503.0,217952.0,2.32,243071.0,262432.0,347,484,2498,3402,29,213,3976,1495,16.0,307.0,83.0,8.0,394.0,135.0,365.0,6.0,243.0,236.0,124.0,606.0,280.0,1173.0,1677.564794848336,4434,273,11311,12270,-959,3179,3969,4147,4163,4944,0.0133333333333333,34.158720393725005,6.260816451185994,2.0
11380,은평구,서울특별시,472954.0,216698.0,2.18,225732.0,247222.0,470289.0,215225.0,2.19,224424.0,245865.0,311,628,2730,3291,55,157,4306,1105,11.0,259.0,90.0,15.0,399.0,143.0,474.0,,276.0,253.0,120.0,609.0,193.0,1464.0,1521.9216297761186,1943,138,13096,14332,-1236,4911,4225,3755,3960,5666,0.0103333333333333,30.21554539516656,7.0735090152565885,2.0
